datno	setno	division	subdivision	calage	calspan	calsigI	calsigD	calsigC	calseqno	c14age	c14sig	c14addsig	c14mulsig	ReservoirAge	ReservoirSig	labid	Date_Modified
7450	20	1	0	27904.0	10	120	0	0.0	237	24580	60	0	1.00	430	200	UCIAMS-21446	2012-12-21
7451	20	1	0	27975.0	10	119	0	0.0	238	24400	140	0	1.00	430	200	NSRL-13112	2012-12-21
7452	20	1	0	27993.0	10	120	0	0.0	239	24440	90	0	1.00	430	200	UCIAMS-21447	2012-12-21
7453	20	1	0	28085.0	10	126	0	0.0	240	24580	60	0	1.00	430	200	UCIAMS-21448	2012-12-21
7454	20	1	0	28179.0	10	134	0	0.0	241	24700	150	0	1.00	430	200	NSRL-13113	2012-12-21
7455	20	1	0	28179.0	10	134	0	0.0	242	24490	100	0	1.00	430	200	UCIAMS-21449	2012-12-21
7456	20	1	0	28274.0	10	141	0	0.0	243	24560	80	0	1.00	430	200	CAMS-52758	2012-12-21
7457	20	1	0	28294.0	10	142	0	0.0	244	24600	130	0	1.00	430	200	NSRL-13114	2012-12-21
7458	20	1	0	28371.0	10	145	0	0.0	245	24490	70	0	1.00	430	200	CAMS-56891	2012-12-21
7459	20	1	0	28469.0	10	146	0	0.0	246	24830	60	0	1.00	430	200	CAMS-59627	2012-12-21
7460	20	1	0	28568.0	10	143	0	0.0	247	25100	140	0	1.00	430	200	NSRL-13115	2012-12-21
7461	20	1	0	28568.0	10	143	0	0.0	248	24775	50	0	1.00	430	200	UCIAMS-16549	2012-12-21
7462	20	1	0	28668.0	10	139	0	0.0	249	24840	60	0	1.00	430	200	CAMS-59628	2012-12-21
7463	20	1	0	28748.0	10	134	0	0.0	250	25600	130	0	1.00	430	200	NSRL-13116	2012-12-21
7464	20	1	0	28748.0	10	134	0	0.0	251	25370	60	0	1.00	430	200	UCIAMS-21705	2012-12-21
7465	20	1	0	28865.0	10	128	0	0.0	252	25480	140	0	1.00	430	200	CAMS-59629	2012-12-21
7466	20	1	0	28922.0	10	125	0	0.0	253	25550	120	0	1.00	430	200	NSRL-13117	2012-12-21
7467	20	1	0	29046.0	10	123	0	0.0	254	25460	140	0	1.00	430	200	CAMS-59630	2012-12-21
7468	20	1	0	29078.0	10	124	0	0.0	255	25750	100	0	1.00	430	200	NSRL-13118	2012-12-21
7469	20	1	0	29124.0	10	128	0	0.0	256	25520	150	0	1.00	430	200	CAMS-56894	2012-12-21
7470	20	1	0	29191.0	10	143	0	0.0	257	26010	210	0	1.00	430	200	CAMS-52759	2012-12-21
7471	20	1	0	29227.0	10	153	0	0.0	258	26400	140	0	1.00	430	200	NSRL-13119	2012-12-21
7472	20	1	0	29249.0	10	161	0	0.0	259	26000	170	0	1.00	430	200	CAMS-59631	2012-12-21
7473	20	1	0	29346.0	10	200	0	0.0	260	26400	180	0	1.00	430	200	NSRL-13120	2012-12-21
7474	20	1	0	29346.0	10	200	0	0.0	261	26320	180	0	1.00	430	200	CAMS-59632	2012-12-21
7475	20	1	0	29390.0	10	216	0	0.0	262	26600	180	0	1.00	430	200	CAMS-56896	2012-12-21
7476	20	1	0	29443.0	10	230	0	0.0	263	26300	140	0	1.00	430	200	NSRL-13121	2012-12-21
7477	20	1	0	29555.0	10	240	0	0.0	264	26300	180	0	1.00	430	200	NSRL-13122	2012-12-21
7478	20	1	0	29591.0	10	239	0	0.0	265	26150	160	0	1.00	430	200	CAMS-56898	2012-12-21
7479	20	1	0	29691.0	10	231	0	0.0	266	26670	80	0	1.00	430	200	UCIAMS-21706	2012-12-21
7480	20	1	0	29707.0	10	229	0	0.0	267	26370	90	0	1.00	430	200	CAMS-52760	2012-12-21
7481	20	1	0	29724.0	10	227	0	0.0	268	26400	140	0	1.00	430	200	NSRL-13124	2012-12-21
7482	20	1	0	29798.0	10	218	0	0.0	269	26360	180	0	1.00	430	200	CAMS-56899	2012-12-21
7483	20	1	0	29862.0	10	209	0	0.0	270	26900	150	0	1.00	430	200	NSRL-13125	2012-12-21
7484	20	1	0	29908.0	10	203	0	0.0	271	26730	170	0	1.00	430	200	CAMS-59636	2012-12-21
7485	20	1	0	29932.0	10	200	0	0.0	272	26800	170	0	1.00	430	200	NSRL-13126	2012-12-21
7486	20	1	0	29984.0	10	193	0	0.0	273	27370	70	0	1.00	430	200	UCIAMS-21707	2012-12-21
7487	20	1	0	30039.0	10	187	0	0.0	274	27600	210	0	1.00	430	200	NSRL-13127	2012-12-21
7488	20	1	0	30098.0	10	180	0	0.0	275	27340	110	0	1.00	430	200	UCIAMS-21708	2012-12-21
7489	20	1	0	30162.0	10	174	0	0.0	276	27500	230	0	1.00	430	200	NSRL-13128	2012-12-21
7490	20	1	0	30230.0	10	168	0	0.0	277	28240	210	0	1.00	430	200	UCIAMS-3461	2012-12-21
7491	20	1	0	30230.0	10	168	0	0.0	278	27950	80	0	1.00	430	200	UCIAMS-21709	2012-12-21
7492	20	1	0	30342.0	10	161	0	0.0	279	28300	230	0	1.00	430	200	NSRL-13129	2012-12-21
7493	20	1	0	30342.0	10	161	0	0.0	280	28140	80	0	1.00	430	200	UCIAMS-21710	2012-12-21
7494	20	1	0	30466.0	10	157	0	0.0	281	28200	180	0	1.00	430	200	UCIAMS-3560	2012-12-21
7495	20	1	0	30466.0	10	157	0	0.0	282	28320	80	0	1.00	430	200	UCIAMS-21711	2012-12-21
7496	20	1	0	30555.0	10	156	0	0.0	283	28400	180	0	1.00	430	200	NSRL-13130	2012-12-21
7497	20	1	0	30649.0	10	156	0	0.0	284	28700	210	0	1.00	430	200	UCIAMS-3463	2012-12-21
