setno calage c14age c14sig calsig
9 16870.0 13882 166 57
9 16797.0 13863 54 57
9 16797.0 13753 69 57
9 16649.0 13855 125 57
9 16573.0 13885 80 58
9 16501.0 13412 204 57
9 16424.0 13627 46 57
9 16351.0 13612 70 56
9 16317.0 13474 53 57
9 16282.0 13105 110 57
9 16272.0 13518 49 57
9 16143.0 13330 52 56
9 16075.0 13482 57 57
9 16008.0 13015 80 57
9 15999.0 13284 53 56
9 15980.0 13304 58 57
9 15940.0 13385 165 57
9 15820.0 13174 157 57
9 15810.0 13665 215 57
9 15615.0 13278 70 56
9 15507.0 12676 137 57
9 15497.0 13440 300 57
9 15413.0 12888 107 58
9 15352.0 12490 69 57
9 15348.0 12929 92 57
9 15296.0 12788 54 55
9 15289.0 12750 78 55
9 15235.0 12391 72 56
9 15231.0 12705 105 56
9 15176.0 12745 75 57
9 15174.0 12630 50 57
9 15123.0 12625 370 58
9 15117.0 12459 52 58
9 15110.0 12801 154 58
9 15087.0 12499 48 59
9 15057.0 12451 43 60
9 15035.0 12435 55 60
9 15018.0 12742 98 61
9 14998.0 12476 56 61
9 14997.0 12490 55 61
9 14972.0 12548 57 61
9 14969.0 12496 50 61
9 14951.0 12557 134 61
9 14925.0 12344 55 61
9 14866.0 12345 55 62
9 14859.0 12315 133 62
9 14828.0 12520 70 62
9 14805.0 12528 51 61
9 14805.0 12415 50 61
9 14805.0 12493 50 61
9 14751.0 12483 87 60
9 14732.0 12943 163 60
9 14710.0 12656 112 60
9 14670.0 12502 70 60
9 14628.0 12320 55 59
9 14609.0 12352 142 58
9 14545.0 12345 49 57
9 14542.0 12456 90 57
9 14508.0 12410 100 56
9 14469.0 12322 48 55
9 14431.0 12521 84 54
9 14386.0 12683 116 52
9 14366.0 12323 61 52
9 14279.0 12357 66 49
9 14236.0 12610 295 47
9 14200.0 12495 95 45
9 14160.0 12270 95 42
9 14120.0 12363 185 41
9 14092.0 12219 42 40
9 14077.0 12381 97 39
9 14042.0 12250 95 37
9 14035.0 12012 113 37
9 14001.0 12050 85 38
9 13974.0 11981 64 39
9 13974.0 11870 60 39
9 13957.0 12245 125 39
9 13914.0 11954 45 40
9 13870.0 12040 55 40
9 13829.0 11958 78 41
9 13777.0 11980 110 41
9 13721.0 12101 126 42
9 13685.0 11766 55 41
9 13683.0 12028 63 41
9 13682.0 12015 96 41
9 13656.0 11858 108 41
9 13643.0 11818 49 40
9 13623.0 11830 65 40
9 13585.0 12004 78 40
9 13577.0 11702 55 39
9 13509.0 11716 106 37
9 13501.0 11806 57 41
9 13491.0 11595 46 37
9 13491.0 11725 54 37
9 13491.0 11706 41 37
9 13472.0 11698 116 37
9 13443.0 11619 67 36
9 13443.0 11755 83 36
9 13435.0 11690 85 36
9 13396.0 11460 55 37
9 13358.0 11476 50 36
9 13336.0 11484 44 36
9 13331.0 11608 56 36
9 13323.0 11480 85 36
9 13282.0 11440 110 37
9 13281.0 11553 123 37
9 13270.0 11438 59 37
9 13253.0 11551 48 36
9 13217.0 11235 60 35
9 13200.0 11335 90 36
9 13200.0 11318 50 36
9 13157.0 11210 90 36
9 13149.0 11204 54 36
9 13117.0 11415 145 35
9 13094.0 11204 53 35
9 13080.0 10995 39 35
9 13067.0 11132 51 34
9 13035.0 11000 125 34
9 13003.0 11114 54 32
9 12988.0 11090 53 30
9 12953.0 10915 125 30
9 12948.0 10981 39 30
9 12892.0 10700 100 30
9 12860.0 11013 49 30
9 12835.0 10944 48 31
9 12800.0 10994 61 32
9 12795.0 10924 49 32
9 12721.0 10687 42 31
9 12713.0 10662 69 31
9 12679.0 10670 100 32
9 12650.0 10671 84 33
9 12649.0 10706 56 33
9 12590.0 10380 90 35
9 12586.0 10809 87 35
9 12528.0 10590 95 36
9 12498.0 10710 110 38
9 12463.0 10484 50 38
9 12429.0 10396 45 39
9 12414.0 10370 125 40
9 12409.0 10351 48 40
9 12381.0 10407 55 41
9 12334.0 10504 46 42
9 12318.0 10494 44 43
9 12318.0 10446 46 43
9 12312.0 10394 46 43
9 12305.0 10395 105 43
9 12213.0 10246 80 45
