calage,c14agemean,c14sig
288,220.9829012,9.62106827
289,225.0946556,9.708736777
290,229.1797138,9.90044291
291,233.0514918,9.723756577
292,236.4560302,9.722690788
293,239.4462456,9.657102126
294,241.9469676,9.630302329
295,243.7156145,9.596713959
296,245.1910036,9.632636869
297,246.6783966,9.721793104
298,248.2544783,9.705629247
299,249.9890498,9.671769324
300,252.0123777,9.770250525
301,254.5618656,9.727925604
302,257.5577086,9.780114605
303,260.5426585,9.728061615
304,263.7631598,9.784293494
305,267.0325578,9.672608739
306,270.5056601,9.767639337
307,274.0091448,9.667916955
308,278.1980934,9.713402849
309,282.5191655,9.728997629
310,286.7538731,9.650439853
311,290.809976,9.806483171
312,294.6961334,9.796246121
313,298.3762782,9.711014593
314,302.162859,9.774531496
315,306.2143954,9.762507896
316,310.9092451,9.75239304
317,315.5409674,9.741418907
318,319.7780658,9.743553641
319,323.6625599,9.69847584
320,326.5417014,9.768568347
321,328.3798411,9.667073882
322,329.4178455,9.727833866
323,329.5617272,9.68785606
324,329.3399705,9.59327377
325,329.203511,9.694303513
326,329.6026581,9.635358388
327,330.7922449,9.685610241
328,333.234645,9.777062873
329,336.5828411,9.727820983
330,340.6722606,9.896352652
331,344.6753114,9.73298172
332,348.6055443,9.820956327
333,352.0466037,9.749981799
334,354.7087958,9.765483537
335,356.3114597,9.725764794
336,356.9277448,9.722362888
337,357.0679207,9.72576005
338,357.0325633,9.77399523
339,357.2545299,9.839682387
340,358.1517744,9.744995255
341,359.5579708,9.640428746
342,361.4605328,9.763783903
343,363.7987616,9.633329942
344,365.5104956,9.678280049
345,366.102281,9.663327848
346,365.0806396,9.696624211
347,363.0882456,9.668244188
348,360.3649716,9.772106915
349,357.3996138,9.822967264
350,355.1394365,9.751728171
351,353.7692841,9.915172895
352,352.6982867,9.898929849
353,352.1000945,9.81916593
354,351.4294643,9.792512604
355,350.6019795,9.738142638
356,349.3927221,9.810223621
357,347.6203143,9.762770452
358,345.2608634,9.72677558
359,342.4477598,9.74866904
360,339.9051076,9.865936993
361,337.6590268,9.808639563
362,335.8989367,9.850458387
363,334.8897848,9.693699533
364,334.4566843,9.702047357
365,334.5077106,9.687363908
366,334.9005872,9.749496395
367,335.2135408,9.77700118
368,335.380218,9.906183053
369,335.3794002,9.779162953
370,335.0186468,9.801940553
371,334.5055507,9.792316696
372,333.8324185,9.816768284
373,332.8777648,9.777663015
374,331.8743225,9.771495396
375,330.719886,9.67666321
376,329.1441272,9.672761503
377,327.555456,9.639077442
378,325.7363833,9.615648125
379,324.2091647,9.655635862
380,322.7607921,9.633895651
381,321.4394035,9.58652361
382,320.8650339,9.555033489
383,320.9666377,9.465307786
384,321.9294802,9.606608469
385,323.2772928,9.67478828
386,324.8575386,9.611391426
387,325.9049373,9.637466076
388,326.3604234,9.667932945
389,326.0186217,9.770514023
390,324.7563902,9.596404853
391,322.9954675,9.533094409
392,321.307652,9.571628115
393,319.7748106,9.666802903
394,318.673774,9.678365727
395,317.535027,9.603569725
396,316.4034867,9.548429967
397,314.7747139,9.579119409
398,312.8033259,9.521581547
399,310.7365611,9.546039289
400,308.5959765,9.523609785
401,307.2279098,9.503755
402,306.6958592,9.568208577
403,307.0671687,9.552015499
404,308.0831017,9.59935001
405,309.385011,9.553271058
406,310.5342392,9.61374407
407,310.8827353,9.565724491
408,310.4772148,9.496688294
409,309.3338299,9.533699849
410,308.0777622,9.638343078
411,306.1491568,9.514774539
412,304.1660258,9.530598523
413,301.9913984,9.469277951
414,300.1175878,9.500887181
415,298.7047914,9.480750363
416,297.9976497,9.546573126
417,298.3730907,9.478216893
418,299.5324505,9.567977806
419,301.3571991,9.526807057
420,303.4353206,9.561783634
421,306.1032613,9.516321449
422,309.2022412,9.52119004
423,312.9019736,9.49039155
424,316.873753,9.524831183
425,320.8802031,9.473712383
426,324.5618523,9.499294825
427,328.0091939,9.545516766
428,331.0704446,9.567476575
429,333.8915906,9.727471538
430,336.4438728,9.642700323
431,338.4695067,9.705018108
432,340.1052209,9.724109102
433,341.0044909,9.708557867
434,341.1622684,9.575056159
435,340.8926983,9.536789907
436,340.6936816,9.421916605
437,340.969184,9.383657193
438,342.0285116,9.450056333
439,343.4006382,9.549616208
440,345.0352783,9.469409601
441,346.5295538,9.498454261
442,348.0690033,9.61944018
443,349.6302408,9.659019641
444,350.7206371,9.632272889
445,351.5969126,9.637840026
446,352.219923,9.580719942
447,353.134477,9.63021264
448,353.9408042,9.57106192
449,354.5868249,9.636875663
450,354.9094569,9.503620954
451,355.1940642,9.597711177
452,355.6579406,9.51699632
453,356.3213292,9.48762272
454,357.1257396,9.574026162
455,358.3751908,9.476819796
456,359.764243,9.601737234
457,361.2606228,9.468103749
458,362.730925,9.585903456
459,364.0534115,9.517936285
460,365.1390927,9.591426838
461,366.3747274,9.530304662
462,367.1547352,9.529595657
463,367.8909178,9.601076102
464,368.3162798,9.522149327
465,368.2614949,9.551669197
466,368.3759753,9.506014647
467,368.3517691,9.463394238
468,368.6205326,9.629008513
469,369.4776495,9.511661438
470,371.057185,9.584025936
471,372.8090605,9.624221067
472,374.9215382,9.645468234
473,377.1682473,9.689436947
474,379.8142786,9.766292771
475,382.8167551,9.737680382
476,385.7573277,9.815757742
477,388.2452957,9.652798998
478,389.9334065,9.718601742
479,390.7873792,9.694941276
480,390.9467641,9.67465715
481,391.467181,9.616771981
482,392.372066,9.699676694
483,393.5679291,9.61489101
484,394.27814,9.549903738
485,394.0523239,9.627380177
